Academic_Reputation,Citations_per_Pape,Employer_Reputation,H_index_Citations,Overall_score,Ranking,Region,University_Name
73.1,84.2,84.5,87.4,79.1,48,China,Shanghai Jiao Tong University
74.9,82,81.5,85.7,78.7,49,Australia,澳大利亚国立大学The Australian National University
73.4,82.5,83.7,81.8,78.2,50,China,Fudan University
77.6,88.8,72,89.5,78.2,50,United States,University of Texas at Austin
100,90.9,100,100,97.7,1,United States,Harvard University
95,100,96.8,90.9,95.4,2,United States,Massachusetts Institute of Technology (MIT)
,,,,,3,,
,,,,,4,,
95,89.4,93.3,90.7,92.4,5,United States,Stanford University
95.2,89.7,89.6,80.4,89.6,6,United States,"University of California, Berkeley (UCB)"
90.1,86.6,77.5,85.9,86.9,7,United States,"University of California, San Diego (UCSD)"
89.9,85.7,88.2,82.9,86.9,7,United States,Yale University
89.6,84.6,83.8,83.5,86.2,9,United States,"University of California, Los Angeles (UCLA)"
86.8,83.9,79.9,87.3,85.5,10,United States,Johns Hopkins University
94.3,89,81.8,68.2,85.2,11,United States,California Institute of Technology (Caltech)
96.5,80.8,84.7,70.8,85,12,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
86.7,84.4,82.8,82.7,84.7,13,United States,Cornell University
,,,,,14,,
90.6,77.1,89.3,79.2,84.2,15,Japan,The University of Tokyo
83,81.4,91.2,85.5,84,16,Canada,University of Toronto
82.5,86.3,81.9,83.2,83.6,17,United States,Columbia University
90.4,87.2,86.2,66.3,83.2,18,United States,Princeton University
,,,,,19,,
79.6,92,58.5,89.1,83,20,United States,"University of California, San Francisco"
88.1,79.2,87.2,76.6,82.9,21,Singapore,National University of Singapore (NUS)
78.3,85.1,80.3,86.7,82.3,22,United States,University of Pennsylvania
82.4,79.5,91,79.3,81.8,23,Australia,墨尔本大学The University of Melbourne
,,,,,24,,
80.6,83.4,72.3,85.5,81.7,24,United States,University of Washington
77.6,83.1,79,87.4,81.6,26,United States,University of Michigan
80.9,86,78,78.4,81.3,27,United States,University of Chicago
85.7,78.2,87.2,73.6,81,28,Japan,Kyoto University
88.9,78.8,70.4,73.4,80.7,29,United States,"University of California, Davis"
80.2,80.4,77.1,82,80.4,30,Denmark,University of Copenhagen
79.7,79.2,81.1,82.2,80.3,31,Sweden,Karolinska Institutet
79.7,82,79.4,79.2,80.1,32,United States,Duke University
83.5,79.1,81.5,74.6,80,33,Canada,University of British Columbia
81.5,95.6,36.4,76.5,79.3,34,United States,The Rockefeller University
81.1,78.1,84,75.9,79.3,34,Australia,昆士兰大学The University of Queensland
78.6,79.9,76.2,79.7,79,36,Germany,Ludwig-Maximilians-Universität München
77.1,77.9,88.8,77.3,78.5,37,Canada,McGill University
83.1,74.6,89,69.6,78.2,38,China,Peking University
75.3,86.1,71.3,77.3,78.1,39,United States,New York University (NYU)
78.2,80.5,73.7,76.4,77.9,40,Germany,Ruprecht-Karls-Universität Heidelberg
81.9,80.7,62.4,74.9,77.9,40,United States,University of Wisconsin-Madison
73.1,86.5,56.2,85.5,77.9,40,United States,Washington University in St. Louis
76.7,85.8,81.1,67.3,77.1,43,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL)
87.5,78,85.8,55.7,77,44,Australia,澳大利亚国立大学The Australian National University
80.4,76.5,87.5,67,76.8,45,China,Tsinghua University
75,82.7,73,75.1,76.8,45,Switzerland,University of Zurich
,,,,,47,,
75.9,77.6,88,71.7,76.5,48,Australia,蒙纳士大学Monash University
83.8,76.8,76.4,63.1,76.1,49,Netherlands,Wageningen University
,,,,,50,,
82.1,76.2,84.3,62.7,76,50,Hong Kong,The University of Hong Kong
81,78.1,62.8,71.3,76,50,Sweden,Uppsala University
100,91.1,98.1,80.1,95.1,1,United States,Massachusetts Institute of Technology (MIT)
,,,,,2,,
,,,,,3,,
96.6,82.1,85.1,88.5,89.8,4,Netherlands,Delft University of Technology
86.3,86.8,93.3,94.7,89.7,5,China,Tsinghua University
88.8,91.9,90.6,86.8,89.5,6,Singapore,National University of Singapore (NUS)
98.5,90,78.8,84.1,89.2,7,United States,"University of California, Berkeley (UCB)"
93.5,82.9,93.6,69.1,88.3,8,United States,Stanford University
81.9,88.7,91.6,87.7,86.7,9,Italy,Politecnico di Milano
83.9,94.9,79.2,100,86.6,10,Hong Kong,The Hong Kong Polytechnic University
82.9,89,90.2,85,86.3,11,Hong Kong,The University of Hong Kong
91.8,73,93.3,70.5,86.2,12,Japan,The University of Tokyo
84.8,73.6,100,74.4,86.1,13,Japan,Kyoto University
86.3,87.9,82.8,89.4,86,14,United States,Georgia Institute of Technology
83.4,84.4,92.1,80.1,85.7,15,Australia,The University of New South Wales (UNSW Sydney)
,,,,,16,,
91.9,89.4,75.6,82.1,85.2,17,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
94.4,86.2,69.4,87.7,84.7,18,United States,University of Illinois at Urbana-Champaign
80.7,93.6,85.8,82.1,84.4,19,South Korea,KAIST - Korea Advanced Institute of Science & Technology
85.4,93.3,74.9,87.7,83.8,20,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL)
82.4,90.9,79.7,87.7,83.7,21,Singapore,"Nanyang Technological University, Singapore (NTU)"
79.9,91.2,86.8,80.1,83.7,21,Australia,悉尼大学The University of Sydney
92.4,85.4,75.7,74.4,83.6,23,United States,University of Texas at Austin
80.5,82.7,89.5,79,83.3,24,South Korea,Seoul National University
84.8,83.1,89.2,67.7,83.3,24,Hong Kong,The Hong Kong University of Science and Technology
79.8,86.8,89.1,76.8,83.2,26,Australia,墨尔本大学The University of Melbourne
84.7,85.7,78.5,81.1,82.5,27,United States,Purdue University
82.5,89.2,78.8,81.1,82.2,28,United States,University of Michigan
79.4,83.7,85.4,79,81.8,29,Taiwan,National Taiwan University (NTU)
71.8,87.6,90.2,77.9,80.6,30,Australia,蒙纳士大学Monash University
75.9,68.6,98.9,67.7,80.5,31,Japan,Tokyo Institute of Technology
86,74,70.7,91.8,80.5,31,China,Tongji University
81.9,87.4,77.8,74.4,80.4,33,Canada,University of Toronto
72.1,89,84.5,84.1,80.2,34,Italy,Politecnico di Torino
80.2,85.6,77,81.1,80.2,34,Spain,Universitat Politècnica de Catalunya
70.7,90,86.8,82.1,80.1,36,China,Shanghai Jiao Tong University
74.2,84.7,83.5,81.1,79.6,37,Australia,西澳大学The University of Western Australia
81.8,87.5,73.1,79,79.6,37,Canada,University of British Columbia
74.4,82.1,86.9,73.2,79.1,39,New Zealand,The University of Auckland
77.9,82.7,71.6,86.8,78.1,40,United States,Texas A&M University
,,,,,40,,
71.6,89.8,76.5,85,77.8,42,Greece,National Technical University of Athens
73.2,79,84.5,75.6,77.8,42,Australia,昆士兰大学The University of Queensland
66.3,87,86.2,81.1,77.6,44,South Korea,Hanyang University
72.2,93.9,70.7,87.7,77.3,45,Sweden,KTH Royal Institute of Technology
71.6,80.6,82.8,76.8,77.1,46,Spain,Universidad Politécnica de Madrid
65.1,86.3,91.2,71.9,77.1,46,Malaysia,Universiti Malaya (UM)
66.1,100,74.6,87.7,77,48,Hong Kong,City University of Hong Kong
74.4,95.7,62.9,91.8,76.8,49,Denmark,Technical University of Denmark
67.6,76.6,89.7,75.6,76.8,49,China,Zhejiang University
98.5,98.7,100,99.8,99.2,1,United States,Massachusetts Institute of Technology (MIT)
91.4,100,96,100,95.4,2,United States,Stanford University
92.6,99.1,89.6,97,93.3,3,United States,"University of California, Berkeley (UCB)"
,,,,,4,,
90.9,89,92.3,91.3,91.1,5,Japan,Kyoto University
,,,,,6,,
89.7,97.1,88.6,87.5,90.2,7,United States,California Institute of Technology (Caltech)
,,,,,7,,
86.2,92.4,90.5,95.4,89.8,9,Singapore,National University of Singapore (NUS)
87.3,88.5,92.2,90.1,89.4,10,Japan,The University of Tokyo
84.7,87.4,91.4,97.9,89.1,11,China,Tsinghua University
89.6,91.2,81.7,92.7,87.9,12,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
