Academic_Reputation,Citations_per_Pape,Employer_Reputation,H_index_Citations,Overall_score,Ranking,Region,University_Name
74.4,80.3,83.9,74.6,76.3,17,India,University of Delhi
74.8,85.8,83.3,63.6,75.6,18,United States,"University of California, Los Angeles (UCLA)"
75,76.8,85.2,68.4,75.3,19,South Africa,University of Witwatersrand
75.5,78.6,82.3,66.1,75.2,20,United States,Princeton University
69.3,89.5,81.5,78.2,74.9,21,Australia,悉尼大学The University of Sydney
,,,,,22,,
77.1,82.6,75.4,51.1,73.9,23,United States,University of Chicago
64.5,95.2,71.3,90.8,73.7,24,Australia,昆士兰大学The University of Queensland
75.4,69.3,86.2,60.9,73.4,25,Japan,The University of Tokyo
73.4,81.7,63.4,70.6,73.2,26,United States,Brown University
67.8,89.5,66.8,82.9,73.2,26,Netherlands,University of Amsterdam
69.2,91.2,58.5,76.5,72.5,28,Sweden,Lund University
,,,,,29,,
72.7,71.9,79.2,60.9,71.5,30,Malaysia,Universiti Malaya (UM)
69.4,86.5,55.7,74.6,71.4,31,United States,"University of California, Davis"
64.6,89.2,65.3,82.9,71.1,32,United States,Duke University
75.8,59,90,51.1,71,33,Mexico,Universidad Nacional Autónoma de México (UNAM)
68.7,82.6,73.1,66.1,70.8,34,Hong Kong,The University of Hong Kong
72,81.2,37.9,74.6,70.4,35,Sweden,Uppsala University
,,,,,36,,
63.3,86.7,63.8,79.9,69.4,37,United States,Michigan State University
,,,,,38,,
66.9,80,62.5,66.1,68.3,39,Canada,McGill University
61.1,85.3,73.7,76.5,68.3,39,New Zealand,University of Otago
62.5,84.9,68,74.6,68.2,41,Hong Kong,City University of Hong Kong
66.2,74,77.9,63.6,68.2,41,New Zealand,The University of Auckland
63.6,89.1,51.3,76.5,68.1,43,United States,Arizona State University
64.1,83.8,63.7,70.6,68,44,South Africa,Stellenbosch University
,,,,,45,,
59,93.3,47.7,85.8,67,46,Belgium,KU Leuven
,,,,,47,,
55.4,90.2,61,89.6,66.3,48,Netherlands,Erasmus University Rotterdam
58.5,84.6,76.1,72.7,66.3,48,United States,University of Pennsylvania
66.4,73.1,62.4,60.9,66.2,50,Uganda,Makerere University
96,94.6,80.9,99,95,1,United States,"University of California, Davis"
97,97,73.6,92.1,93.2,2,United States,Cornell University
100,97.7,47.4,95.5,92.7,3,United Kingdom,"Royal Veterinary College , University of London"
,,,,,4,,
92.5,93.9,71.9,90.9,90.4,5,Netherlands,Utrecht University
73.1,100,82.2,100,90.2,6,United States,University of Pennsylvania
88.9,94.8,60.2,95.5,89.8,7,Canada,University of Guelph
,,,,,8,,
,,,,,9,,
85.3,95.4,70.9,90.9,88.6,10,United States,Texas A&M University
75.8,96.3,80.5,94.4,88,11,United States,Michigan State University
80.4,94.8,89.8,88.3,88,11,Australia,悉尼大学The University of Sydney
81.1,94.6,90.5,87,87.9,13,Netherlands,Wageningen University
,,,,,14,,
80.4,94.1,95.4,84.1,87.1,15,Australia,墨尔本大学The University of Melbourne
74.3,96.4,78.2,92.7,86.8,16,United States,The Ohio State University
81.3,93.6,67.7,91.5,86.7,17,Belgium,Ghent University
78.5,95.3,51.6,96.5,86.3,18,United States,Colorado State University
80.6,92.8,77.3,87.7,86.1,19,Denmark,University of Copenhagen
,,,,,20,,
81.1,91.8,71.2,87.7,85.3,21,Sweden,Swedish University of Agricultural Sciences
78.6,95.7,49.4,91.5,84.7,22,United States,University of Minnesota
80.7,91.1,89.9,80.1,84.6,23,New Zealand,Massey University
72.8,95.6,92.6,81,84.1,24,Ireland,University College Dublin
70.1,93.5,88.5,85.6,83.6,25,Germany,Ludwig-Maximilians-Universität München
76.4,87.9,92.3,83.3,83.5,26,Germany,Freie Universitaet Berlin
79.8,95.1,35,91.5,83.4,27,United States,North Carolina State University
76.9,92,64,87,83.2,28,Switzerland,Vetsuisse Faculty Bern and Zurich
,,,,,29,,
73,94.1,60.9,87.7,82.5,30,United States,University of Wisconsin-Madison
70.4,93.6,75.4,85.6,82.4,31,Spain,Universitat Autònoma de Barcelona
66.9,97,57.2,89.6,81.8,32,United States,Purdue University
65.5,94.6,78.6,83.3,80.9,33,Spain,Complutense University of Madrid
78.6,88.2,67.9,80.1,80.9,33,Austria,University of Veterinary Medicine Vienna
74.4,90.7,45.3,89,80.8,35,United States,University of Florida
64.7,94.9,57.1,90.3,80.7,36,United States,University of Illinois at Urbana-Champaign
67.6,89.4,52.9,92.7,80.2,37,United States,The University of Georgia
74.9,88.8,82.4,75.7,80.1,38,Australia,莫道克大学Murdoch University
70.1,90.6,80.7,79.3,80.1,38,Australia,昆士兰大学The University of Queensland
66.8,96.9,43.8,88.3,80,40,United States,Iowa State University
71.5,93,49.1,85.6,79.9,41,United States,Washington State University
73.8,88.8,84.5,74.7,79.6,42,Japan,The University of Tokyo
68.6,96.6,47.4,81.8,78.8,43,Norway,Norwegian School of Veterinary Science
67.1,95.2,45.7,84.8,78.7,44,United States,Tufts University
61.5,91.4,73.9,81.8,77.8,45,Belgium,Université de Liège
70.7,91.9,55.1,78.4,77.8,45,United States,Virginia Polytechnic Institute and State University
75,77.2,82.1,79.3,77.7,47,Brazil,Universidade de São Paulo
71.4,91.4,55.6,76.6,77.4,48,Canada,University of Calgary
61.8,90.8,73.8,80.1,77.2,49,Italy,University of Milan
61.4,93.5,53.1,84.8,77.2,49,Canada,Université de Montréal
98,98.1,95.9,89.1,96.9,1,United States,Harvard University
,,,,,2,,
,,,,,3,,
,,,,,4,,
95.6,79.5,76.3,83,90.8,5,Netherlands,Vrije Universiteit Amsterdam
96.7,88,52.1,83,90,6,United States,Boston College
92.3,96.5,56.1,100,89.9,7,United States,University of Notre Dame
98,73.4,58.2,75.5,89.3,8,Belgium,KU Leuven
91.2,86.9,82.8,85.2,89.3,8,Canada,University of Toronto
91.9,85.2,78.8,80.7,88.8,10,United States,University of Chicago
92.6,79.9,70.6,75.5,87.4,11,United States,Yale University
92.6,87.3,53.8,80.7,87,12,Belgium,Université catholique de Louvain (UCL)
89.8,87.5,66.5,75.5,85.8,13,United States,Princeton University
92.4,73.8,62.4,69.1,85.2,14,Germany,Ruprecht-Karls-Universität Heidelberg
90,71.6,62.6,72.5,83.7,15,Germany,Eberhard Karls Universität Tübingen
86.3,71,89.2,72.5,83.7,15,United States,Stanford University
89.7,68.7,75.2,65.4,83.7,15,United States,"University of California, Berkeley (UCB)"
,,,,,18,,
,,,,,19,,
89.6,70.5,56.7,72.5,82.7,20,Israel,The Hebrew University of Jerusalem
84.4,79.4,74.4,78.2,82.3,21,United States,Columbia University
86.4,79.1,65.7,72.5,82.2,22,Canada,McGill University
,,,,,23,,
,,,,,24,,
,,,,,25,,
80.7,84.7,80.6,80.7,81.1,26,United States,Georgetown University
78,100,63,98.7,80.8,27,United States,Duke University
84.9,73.3,74.4,65.4,80.7,28,United States,"University of California, Los Angeles (UCLA)"
80.9,91,66.1,80.7,80.4,29,Denmark,Aarhus University
83.7,79.2,60.1,75.5,80.1,30,United States,Emory University
84.5,45.2,96.1,50.6,78.3,31,Malaysia,International Islamic University Malaysia (IIUM)
85.7,70.5,49.7,61.2,78.1,32,Germany,Ludwig-Maximilians-Universität München
84.5,57.7,73.3,56.4,77.9,33,Chile,Pontificia Universidad Católica de Chile (UC)
,,,,,34,,
78.7,70.2,100,56.4,77.8,34,Australia,蒙纳士大学Monash University
,,,,,34,,
74.8,78.8,98.4,69.1,77,37,Australia,悉尼大学The University of Sydney
81.1,65.6,64.2,69.1,76.7,38,Norway,University of Oslo
77.9,85.3,66.5,69.1,76.6,39,Canada,University of British Columbia
77,79.3,72.5,72.5,76.3,40,Netherlands,Leiden University
,,,,,41,,
,,,,,42,,
82.1,53,65,56.4,74.9,43,Germany,Humboldt-Universität zu Berlin
83.9,52.2,47,61.2,74.8,44,Germany,Westfälische Wilhelms-Universität Münster
79.7,57.7,74.4,50.6,74.1,45,Australia,迪肯大学Deakin University
73,86,65.7,75.5,73.8,46,Denmark,University of Copenhagen
76.9,51.3,85.1,56.4,73.1,47,Hong Kong,The Chinese University of Hong Kong (CUHK)
68.8,88.3,75.6,83,72.9,48,Netherlands,Radboud University
77,67.7,56.5,65.4,72.9,48,Switzerland,University of Zurich
70.9,91.7,61,78.2,72.7,50,United States,Boston University
100,96.8,99.1,100,99.3,1,United States,Massachusetts Institute of Technology (MIT)
92.4,95.8,99.9,97,94.8,2,United States,Harvard University
93.9,93.9,96.2,97,94.8,2,United States,Stanford University
91.5,95.2,91.2,99.3,93.8,4,United States,"University of California, Berkeley (UCB)"
,,,,,5,,
,,,,,6,,
90.4,88.2,73.5,91.8,88.6,7,United States,Georgia Institute of Technology
85.5,92,82.4,93.6,88.1,8,United States,Carnegie Mellon University
86.2,93.6,87,88,88.1,8,United States,Princeton University
86.3,92.7,73,94.5,87.9,10,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
82.3,87.2,91.3,97,87.1,11,Singapore,National University of Singapore (NUS)
,,,,,12,,
81.5,88.4,86.1,95.3,86.1,13,United States,Columbia University
81,89.8,76.8,97.7,85.7,14,United States,University of Michigan
82.3,89.4,76.3,94.5,85.6,15,United States,University of Washington
82.1,90.4,83.9,88,85.1,16,United States,"University of California, Los Angeles (UCLA)"
75.3,96.3,87.3,91.8,84,17,Canada,University of Toronto
82.5,86.1,79.4,86.9,83.8,18,United States,Cornell University
81.7,86.7,81.4,83.6,83.1,19,United States,University of Chicago
76.9,88.4,86.6,89,82.6,20,China,Tsinghua University
78.5,85.1,76,89.9,81.9,21,United States,Duke University
80.6,80.7,91.4,81.2,81.8,22,Japan,The University of Tokyo
75.3,91.1,79.8,89.9,81.8,22,United States,University of Pennsylvania
79.1,91.6,69.2,82.4,81.3,24,United States,University of Wisconsin-Madison
73.2,87,100,85.8,81.2,25,Australia,墨尔本大学The University of Melbourne
74.1,89.1,89.8,84.7,80.8,26,Hong Kong,The Hong Kong University of Science and Technology
,,,,,27,,
,,,,,28,,
72.6,89.6,91.7,84.7,80.3,28,Hong Kong,The University of Hong Kong
,,,,,30,,
74.7,92.1,70.5,84.7,79.8,31,United States,Johns Hopkins University
73.1,87.9,67.1,91.8,79.2,32,United States,"University of North Carolina, Chapel Hill"
74.4,86.7,88.9,78.7,79.2,32,United States,Yale University
76.1,83.6,91.3,75.9,79.1,34,China,Peking University
76.4,83.8,76.7,82.4,79.1,34,United States,Purdue University
70.3,92.3,93.9,75.9,78.2,36,Australia,澳大利亚国立大学The Australian National University
70.1,87.3,91.5,82.4,78.1,37,Australia,蒙纳士大学Monash University
67,100,73.2,85.8,78,38,United States,"University of California, San Diego (UCSD)"
72.5,84.6,79.1,83.6,77.8,39,Canada,University of British Columbia
70.4,87.3,72.1,89,77.7,40,United States,Pennsylvania State University
70.3,91.1,69.2,86.9,77.7,40,Canada,Université de Montréal
73.9,83.6,61,89,77.6,42,United States,Texas A&M University
71.1,86.5,83,81.2,77.4,43,Singapore,"Nanyang Technological University, Singapore (NTU)"
70.5,89.8,89.9,75.9,77.4,43,New Zealand,The University of Auckland
65.4,90.5,85,86.9,76.7,45,Hong Kong,City University of Hong Kong
68.5,87.5,72,88,76.6,46,Belgium,KU Leuven
65.6,89.6,81.6,88,76.5,47,China,Shanghai Jiao Tong University
70.5,83.6,76.8,83.6,76.4,48,Canada,McGill University
71,88.8,76.3,77.3,76.4,48,United States,New York University (NYU)
71.1,84,75.7,81.2,76.2,50,United States,University of Illinois at Urbana-Champaign
,,,,,1,,
87,93.2,100,100,91.2,2,Australia,悉尼大学The University of Sydney
91.1,92,70.9,100,90.6,3,Australia,昆士兰大学The University of Queensland
90.8,87.7,79.6,93.1,89.6,4,Canada,University of British Columbia
,,,,,5,,
85.5,85.9,66.1,96.1,85.2,6,Canada,University of Toronto
81.7,90.5,73.7,92.6,83.9,7,Canada,University of Alberta
92.1,83.1,49.1,68.9,83,8,United States,Pennsylvania State University
91.9,71.2,89,53.4,82.7,9,United States,Massachusetts Institute of Technology (MIT)
84.7,85.5,83.6,70.3,82.6,10,South Korea,Seoul National University
83.6,89.6,78.3,74.1,82.5,11,Hong Kong,The University of Hong Kong
78.3,91.6,70,97.5,82.3,12,New Zealand,University of Otago
,,,,,13,,
82.9,90.6,44.2,93.7,81.8,14,United States,University of Florida
82.8,87.3,66.8,81.1,81.6,15,Denmark,University of Copenhagen
,,,,,16,,
79.2,87.5,66.5,91.5,81,17,United States,University of Michigan
84,87.8,51.8,80.2,80.8,18,United States,University of Illinois at Urbana-Champaign
,,,,,19,,
76.6,80.9,76.6,92.1,79.6,20,Brazil,Universidade de São Paulo
76.7,91,50.9,96.1,79.2,21,Canada,McMaster University
79.5,84.7,80.2,71.6,79.2,21,Hong Kong,The Chinese University of Hong Kong (CUHK)
77.2,88.8,69.3,84.3,79.2,21,Australia,西澳大学The University of Western Australia
73.3,92.9,74.8,91.5,79.1,24,Taiwan,National Taiwan University (NTU)
86,72.6,55.3,67.4,78.1,25,Japan,University of Tsukuba
78.5,83.2,66.4,78.3,78,26,Canada,McGill University
73.6,92.6,53.9,94.2,77.6,27,United States,The Ohio State University
77.8,82.1,82.2,67.4,77.3,28,New Zealand,The University of Auckland
78.7,94.9,50.3,71.6,77.2,29,United States,University of Massachusetts Amherst
68.8,90.2,98.5,79.3,76.6,30,Australia,迪肯大学Deakin University
73.6,88.9,55,90.9,76.6,30,Belgium,KU Leuven
71.3,92.4,80.7,78.3,76.5,32,Australia,The University of New South Wales (UNSW Sydney)
69.3,92.6,73.4,90.9,76.4,33,Belgium,Ghent University
70.3,90.9,98.1,71.6,76.4,33,Australia,University of Technology Sydney
75.2,95.1,59,72.9,76.2,35,United States,Michigan State University
77.1,84.8,50.4,80.2,76.1,36,Netherlands,Vrije Universiteit Amsterdam
83.8,59.5,84,56,76,37,Singapore,National University of Singapore (NUS)
69.3,91.6,91.2,77.3,76,37,South Africa,University of Cape Town
,,,,,39,,
76,75.2,85.4,68.9,75.8,40,Japan,Waseda University
74.6,87.4,50.9,81.9,75.2,41,Canada,University of Calgary
69.5,90.2,64.1,89.7,75.1,42,New Zealand,Auckland University of Technology (AUT)
68.5,97.7,55.7,92.1,75.1,42,United States,Boston University
,,,,,44,,
78.5,83.5,48.7,70.3,75,44,United States,"University of Maryland, College Park"
77.8,69.6,80.4,64.2,74.8,46,Japan,Kyoto University
72.3,89.6,69.3,72.9,74.7,47,United States,Cornell University
70.9,87.4,61.2,86.5,74.7,47,United States,Northwestern University
76.2,78.8,61.3,70.3,74.2,49,Spain,Universidad Autónoma de Madrid
69.6,90.6,53.3,87.8,73.9,50,Canada,The University of Western Ontario
100,94,100,100,99.7,1,United States,Harvard University
98.8,93.5,84.6,93.2,96.3,2,United States,"University of California, Berkeley (UCB)"
,,,,,3,,
,,,,,4,,
93.9,97,91.3,97.4,94.3,5,United States,Stanford University
,,,,,6,,
95.5,90.5,79.4,86.9,92.4,7,United States,University of Chicago
93.4,88.4,87.7,90.1,92.1,8,United States,"University of California, Los Angeles (UCLA)"
91.2,96.2,88.7,95.7,91.9,9,United States,Yale University
91.9,96.9,85,94.1,91.8,10,United States,Princeton University
92,87.7,83.2,92.8,91,11,United States,Columbia University
94.5,88.7,62.8,90.1,90.4,12,United States,University of Wisconsin-Madison
91.8,78.2,88.8,80.3,89.1,13,Australia,澳大利亚国立大学The Australian National University
91.2,85.9,76.9,87.3,88.9,14,Netherlands,University of Amsterdam
88.7,89.6,77.3,95.1,88.6,15,United States,University of Michigan
86,89.1,86.7,91.8,87.1,16,United States,New York University (NYU)
89.4,77.9,90.4,76.8,87,17,Singapore,National University of Singapore (NUS)
87,80.9,79.8,84.3,85.6,18,Canada,University of Toronto
83.2,90,80,89.7,84.2,19,United States,Cornell University
,,,,,20,,
79.9,100,94,87.7,83.5,21,United States,Massachusetts Institute of Technology (MIT)
89.9,76.5,68.8,64.2,83.3,22,Germany,Freie Universitaet Berlin
88.7,73.2,69.9,67.1,82.8,23,Germany,Humboldt-Universität zu Berlin
88.9,61.9,88.8,57.3,82.8,23,Japan,The University of Tokyo
,,,,,25,,
82.1,86.9,74.6,86.9,82.3,26,United States,"University of North Carolina, Chapel Hill"
88.7,61.2,82,54.4,81.5,27,Mexico,Universidad Nacional Autónoma de México (UNAM)
84.6,74.5,91.3,62.1,81.4,28,China,Peking University
84.6,75.3,87.1,64.2,81.3,29,Hong Kong,The University of Hong Kong
82,83.2,76.6,78,80.9,30,Denmark,University of Copenhagen
79.9,80.4,82,80.8,80.3,31,Australia,悉尼大学The University of Sydney
83.1,67.7,91.5,63.2,80.2,32,South Korea,Seoul National University
79.1,88.8,67.7,91.1,80.2,32,United States,University of Texas at Austin
80.6,82,75.5,79.7,80,34,Canada,University of British Columbia
79.3,78.6,84.4,80.3,79.9,35,Australia,墨尔本大学The University of Melbourne
80.4,84.1,73.3,78.6,79.6,36,United States,Brown University
80.3,81.3,62,85.6,79.3,37,United States,City University of New York
82.1,76.8,70.3,72.8,79.3,37,France,Sciences Po
78.4,80.6,84.5,78.6,79.2,39,Canada,McGill University
78.6,74.8,87.7,75.5,78.9,40,Australia,蒙纳士大学Monash University
81.7,76.8,74.9,68.9,78.9,40,Hong Kong,The Chinese University of Hong Kong (CUHK)
,,,,,40,,
78.6,81.1,76.3,79.2,78.6,43,Australia,昆士兰大学The University of Queensland
76.9,89.2,70.9,87.7,78.5,44,United States,Duke University
80.9,81.9,57.5,78,78.2,45,Sweden,Stockholm University
,,,,,46,,
86.6,46.4,82.3,45.6,78,46,Argentina,Universidad de Buenos Aires (UBA)
,,,,,48,,
81.4,66,82.7,62.1,77.9,48,Chile,Pontificia Universidad Católica de Chile (UC)
,,,,,50,,
100,89.5,100,,99,1,United States,Harvard University
,,,,,2,,
,,,,,3,,
,,,,,4,,
94.9,81,89.2,,92.4,5,United States,"University of California, Berkeley (UCB)"
91.1,91.9,93,,91.6,6,United States,Stanford University
87,92.3,93.4,,88.8,7,United States,Massachusetts Institute of Technology (MIT)
89.6,77.2,83.8,,87.2,8,Canada,University of Toronto
88.1,88.1,81,,86.7,9,United States,University of Chicago
92.1,72.8,73.3,,86.4,10,United States,Johns Hopkins University
87,82.8,84.6,,86.1,11,United States,Columbia University
97.2,,90.5,,86.1,11,Japan,The University of Tokyo
,,,,,13,,
86.5,56.9,90.7,,84.4,14,Singapore,National University of Singapore (NUS)
85.2,71,85.8,,83.9,15,United States,"University of California, Los Angeles (UCLA)"
,,,,,16,,
83.1,69,90.9,,83.3,17,Australia,澳大利亚国立大学The Australian National University
83.2,69.6,89.5,,83.1,18,South Korea,Seoul National University
82.7,68.6,91.5,,83.1,18,Australia,墨尔本大学The University of Melbourne
83.1,75.2,85.3,,82.8,20,Hong Kong,The University of Hong Kong
,,,,,20,,
82.3,86.5,76.3,,81.5,22,United States,University of Michigan
81.5,56.5,92,,81.1,23,China,Peking University
82.2,63.8,82.8,,80.5,24,United States,New York University (NYU)
87.5,70.9,60.9,,80.5,24,Sweden,Stockholm University
81.3,79.2,78.1,,80.5,24,Canada,University of British Columbia
80.1,64.5,89.4,,80.4,27,Australia,悉尼大学The University of Sydney
,,,,,28,,
80,86.4,76.3,,79.9,29,Netherlands,University of Amsterdam
83.5,36.8,85.8,,79.3,30,Chile,Pontificia Universidad Católica de Chile (UC)
79.3,89.6,72.8,,79,31,Germany,Freie Universitaet Berlin
78.9,71.5,82.5,,78.9,32,Hong Kong,The Chinese University of Hong Kong (CUHK)
77.2,67.3,89.8,,78.7,33,China,Tsinghua University
87.1,98.4,36.8,,78.2,34,United States,Syracuse University
77.9,70.5,76.9,,77,35,Hong Kong,City University of Hong Kong
81.7,71.9,62.2,,76.8,36,United States,American University
80.6,76.7,62.9,,76.7,37,United States,University of Washington
80.3,50,75.7,,76.4,38,Taiwan,National Taiwan University (NTU)
85.1,,84.2,,76.4,38,United States,Princeton University
76.1,61.4,84.8,,76.4,38,South Korea,Yonsei University
78.3,86.7,64.1,,76.3,41,United States,Georgetown University
75.1,73.5,81.9,,76.3,41,United States,University of Pennsylvania
76.1,50.1,87.6,,75.8,43,South Korea,Korea University
75.4,81.1,72.1,,75.3,44,United States,Duke University
77.3,60.6,74,,75,45,Belgium,KU Leuven
73.7,77.4,77.9,,74.9,46,United States,Cornell University
,,,,,46,,
76.4,70,70.9,,74.7,48,Netherlands,Leiden University
71.9,63.5,90.3,,74.7,48,Australia,蒙纳士大学Monash University
77.5,66.1,69,,74.7,48,France,Sciences Po
74.1,50.5,89.1,,74.7,48,Australia,The University of New South Wales (UNSW Sydney)
100,92.1,100,99.2,98.3,1,United States,Harvard University
95.9,97,91.9,100,96.1,2,United States,Stanford University
,,,,,3,,
,,,,,3,,
93.6,96,82.1,92.2,91.5,5,United States,"University of California, Berkeley (UCB)"
,,,,,6,,
91.7,92.7,80.5,99.5,91.2,7,United States,"University of California, Los Angeles (UCLA)"
91.1,92,86.6,95.3,91.2,7,United States,Yale University
88.5,94.4,95,85,90.3,9,United States,Massachusetts Institute of Technology (MIT)
92.1,90.2,72.6,94.7,88.3,10,United States,University of Michigan
91.4,87.9,76.9,91.6,87.8,11,United States,New York University (NYU)
86.6,89.7,79.3,95,87.4,12,United States,Columbia University
86.1,92.5,77.1,93.8,87.1,13,Canada,University of British Columbia
85.2,93.7,76.2,95,87.1,13,United States,University of Pennsylvania
83,87.3,96.1,84.2,86.7,15,Australia,墨尔本大学The University of Melbourne
91.9,92.3,79.5,77.4,86.6,16,United States,Princeton University
88.3,92.8,69.6,93.2,86.4,17,Netherlands,University of Amsterdam
89,90,75,84.2,85.4,18,United States,University of Chicago
83.4,89.5,77.3,93.5,85.4,18,Canada,University of Toronto
77.9,87,93.1,86.2,84.4,20,Australia,The University of New South Wales (UNSW Sydney)
,,,,,21,,
81.4,93.2,68.7,93.2,83.6,22,United States,Northwestern University
84.1,86.4,75.9,82.9,82.7,23,Canada,McGill University
,,,,,24,,
76.1,84.6,95.7,79.8,82.5,25,Australia,悉尼大学The University of Sydney
80.4,92.3,66.4,91.6,82.2,26,United States,"University of California, San Diego (UCSD)"
77.7,85.7,84.7,82.9,81.7,27,Australia,昆士兰大学The University of Queensland
80.7,92.6,62.9,89.2,81.2,28,United States,University of Illinois at Urbana-Champaign
79.8,85.6,76.5,82.9,80.9,29,Belgium,KU Leuven
75.9,94.4,69,89.5,80.9,29,United States,University of Texas at Austin
74,94.3,67.4,93.8,80.7,31,United States,Duke University
,,,,,32,,
74.5,93.6,62.6,94.4,79.9,33,United States,University of Wisconsin-Madison
71.7,90.2,74.9,90.5,79.8,34,United States,Boston University
,,,,,35,,
82.3,82.9,83.7,66.3,79.5,36,New Zealand,The University of Auckland
78.1,83.8,89.3,68.3,79.5,36,Hong Kong,The University of Hong Kong
70.7,82.7,94.9,77.9,79.4,38,Australia,蒙纳士大学Monash University
73.6,89.3,71.2,87.7,79.1,39,Belgium,Ghent University
,,,,,40,,
79.4,81.1,84.6,68.9,78.7,40,Hong Kong,The Chinese University of Hong Kong (CUHK)
,,,,,40,,
78.3,89.1,59.2,88.4,78.7,40,Netherlands,University of Groningen
76,82.1,91.7,66.9,78.5,44,Australia,澳大利亚国立大学The Australian National University
70.7,91.3,70.9,87.7,78.3,45,United States,Cornell University
75.3,87.1,64.3,89.2,78.2,46,United States,Pennsylvania State University
75.3,91.8,70,77.9,78.1,47,United States,Carnegie Mellon University
,,,,,47,,
78.8,89.1,50.8,92.2,77.9,49,United States,University of Minnesota
73.2,94,57.3,91.2,77.8,50,United States,University of Virginia
90.8,90.3,100,94.3,93.9,1,United States,Harvard University
,,,,,2,,
95.4,100,84.5,93.5,92.4,3,United States,Princeton University
100,80.5,87.3,69.1,91.2,4,France,Sciences Po
,,,,,5,,
,,,,,6,,
84.8,90.5,88.9,90.1,87.1,7,United States,Yale University
88,81.9,83.4,90.1,86.2,8,Australia,澳大利亚国立大学The Australian National University
85.8,88.3,83,86.2,85.3,9,United States,"University of California, Berkeley (UCB)"
82.5,82.2,86,80.7,83.3,10,United States,Columbia University
86.1,87.2,75.3,85.2,82.9,11,United States,Georgetown University
79.9,79.7,89.7,75.5,82.4,12,Singapore,National University of Singapore (NUS)
81.4,89.3,80.1,85.2,82.2,13,United States,University of Chicago
81.1,87.7,77.2,87.2,81.2,14,Canada,University of Toronto
79.2,69,93.5,63.4,80.9,15,Japan,The University of Tokyo
71.5,81.3,95.7,74,80,16,United States,Massachusetts Institute of Technology (MIT)
67.7,87.5,93.8,88.2,79.6,17,United States,Stanford University
74.6,84.1,85.1,79.5,79.2,18,Australia,悉尼大学The University of Sydney
77.5,89,79.2,78.2,79.2,18,United States,"University of California, Los Angeles (UCLA)"
85.6,82,66.9,78.2,78.9,20,Germany,Freie Universitaet Berlin
85.3,95.5,60.6,83,78.7,21,United States,"University of California, San Diego (UCSD)"
83.6,79.5,71.9,72.5,78.6,22,United States,Johns Hopkins University
,,,,,23,,
80.4,91,68,83,78,24,United States,George Washington University
76.5,70.1,90.4,56.4,78,24,Hong Kong,The University of Hong Kong
75.7,67.6,91.5,56.4,77.7,26,China,Peking University
,,,,,27,,
77,89,72,86.2,77.6,27,United States,University of Michigan
75.5,70.5,88.7,61.2,77.5,29,South Korea,Seoul National University
77.4,85.8,74.8,78.2,77.5,29,Denmark,University of Copenhagen
84.3,81.9,61.2,79.5,76.7,31,Netherlands,Leiden University
70.7,78.1,88.1,70.8,76.7,31,Australia,墨尔本大学The University of Melbourne
75.7,91.6,68,92.6,76.7,31,Netherlands,University of Amsterdam
71.5,88,78.8,83,76.5,34,United States,New York University (NYU)
71.4,71,89.8,63.4,76.1,35,China,Tsinghua University
75,84,73.8,76.9,75.7,36,United States,Cornell University
69.4,89.2,76.6,85.2,75.1,37,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
,,,,,37,,
73.5,87.9,73.3,75.5,75.1,37,Canada,University of British Columbia
,,,,,37,,
,,,,,41,,
,,,,,42,,
71.2,85.3,72.2,80.7,73.9,43,United States,Duke University
71.2,79.6,76.5,74,73.9,43,Canada,McGill University
71.8,81.9,74.1,75.5,73.9,43,Ireland,"Trinity College Dublin, The University of Dublin"
71.7,55,93.7,43.6,73.8,46,Japan,Waseda University
69.5,68.8,85.4,61.2,73.4,47,South Korea,Korea University
70.3,63.2,86,58.9,73.2,48,China,Fudan University
68.9,68.3,86.1,58.9,73,49,Hong Kong,The Chinese University of Hong Kong (CUHK)
,,,,,50,,
100,94.8,100,100,99,1,United States,Massachusetts Institute of Technology (MIT)
97.3,96.4,99.6,96.4,97.4,2,United States,Harvard University
95.3,97.2,97.5,99.6,97,3,United States,Stanford University
,,,,,4,,
96.4,95.7,92.5,96.1,95.4,5,United States,"University of California, Berkeley (UCB)"
,,,,,6,,
95,92,93.7,95.8,94.3,7,United States,California Institute of Technology (Caltech)
93.1,93.4,89.1,93.3,92.4,8,United States,Princeton University
92.2,86.6,92.8,93.8,91.5,9,Japan,The University of Tokyo
91.8,90.6,88.1,90.7,90.6,10,Switzerland,ETH Zurich - Swiss Federal Institute of Technology
,,,,,11,,
85.9,92.8,86.6,89.5,88.1,12,United States,"University of California, Los Angeles (UCLA)"
86.5,92,85,88.6,87.7,13,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL)
82.5,96.1,84.5,90.1,87.1,14,United States,Columbia University
83.3,95.8,83.5,89.2,87,15,United States,Yale University
86.6,98,74.6,88.7,86.9,16,United States,University of Chicago
85.1,83.8,90,87.7,86.3,17,Japan,Kyoto University
84.6,85.3,88,87.1,85.9,18,China,Peking University
83.7,92.2,78.9,88.3,85.4,19,United States,Cornell University
83.4,83.1,89.1,88.1,85.4,19,China,Tsinghua University
82.7,89.1,88.4,82.7,85.1,21,Germany,Technical University of Munich
86.9,92.4,70.1,87.1,84.7,22,Germany,Ludwig-Maximilians-Universität München
